datetime,project,type,title,author,url,notes
2025-11-21 12:59:01,"",blog,2025-11-21 AI Newsletter,"",https://posit.co/blog/2025-11-21-ai-newsletter/,""
2025-11-20 10:57:00,positron,blog,Privacy and AI Assistants,"",https://posit.co/blog/trust-llm-tools/,""
2025-11-14 10:51:00,positron,blog,Create and Deploy a Python Shiny Express Application to Connect Cloud,"",https://posit.co/blog/shiny-python-in-positron/,""
2025-11-13 08:56:00,"",blog,"When plotting, LLMs see what they expect to see","",https://posit.co/blog/introducing-bluffbench/,""
2025-11-10 16:17:52,connect-cloud,blog,More Control for Your Connect Cloud Deployments,"",https://posit.co/blog/more-control-for-your-connect-cloud-deployments/,""
2025-11-10 15:03:56,great-tables,blog,Winners of the 2025 Table Contest,"",https://posit.co/blog/2025-table-contest-winners/,""
2025-11-10 07:31:00,positron,blog,What’s New in Posit Workbench 2025.09.2: Expanded AI Provider Support and Data Explorer Features,"",https://posit.co/blog/rstudio-2025-09-2-whats-new/,""
2025-11-07 13:10:28,"",blog,2025-11-07 AI Newsletter,"",https://posit.co/blog/2025-11-07-ai-newsletter/,""
2025-11-07 11:14:00,"",blog,Talk recordings and workshop materials from posit::conf(2025),"",https://posit.co/blog/talks-and-workshops-from-posit-conf-2025/,""
2025-11-06 21:16:41,"",blog,Anaconda Ends R Support — Here’s What It Means and How to Move Forward,"",https://posit.co/blog/anaconda-ends-r-support-heres-what-it-means-and-how-to-move-forward/,""
2025-11-06 15:01:56,posit-team,blog,Build and Deploy AI-Powered Data Products Without Leaving Snowflake: Introducing the Posit Team Native App,"",https://posit.co/blog/introducing-the-snowflake-posit-team-native-app/,""
2025-10-29 08:09:00,positron,blog,Your first Python project in Positron,"",https://posit.co/blog/first-python-project-in-positron/,""
2025-10-24 13:38:00,"",blog,2025-10-24 AI Newsletter,"",https://posit.co/blog/2025-10-24-ai-newsletter/,""
2025-10-17 19:13:38,"",blog,"People Analytics: Resources, stories, and teachings from our community","",https://posit.co/blog/people-analytics-resources-stories-and-teachings/,""
2025-10-10 12:49:01,"",blog,2025-10-10 AI Newsletter,"",https://posit.co/blog/2025-10-10-ai-newsletter/,""
2025-10-03 14:07:21,"",blog,posit::conf(2025) Recap,"",https://posit.co/blog/posit-conf-2025-recap/,""
2025-10-01 16:12:20,"",blog,Posit Recognized as “One to Watch” in Snowflake’s Modern Marketing Data Stack Report,"",https://posit.co/blog/posit-recognized-as-one-to-watch-in-snowflakes-modern-marketing-data-stack-report/,""
2025-10-01 14:28:29,quarto,blog,Create a Quarto Document in Positron,"",https://posit.co/blog/create-a-quarto-document-in-positron/,""
2025-09-26 16:08:01,"",blog,2025-09-26 AI Newsletter,"",https://posit.co/blog/2025-09-26-ai-newsletter/,""
2025-09-17 15:48:22,positron,blog,Positron at posit::conf(2025) Roundup,"",https://posit.co/blog/positron-conf-announcement/,""
2025-09-15 11:42:18,positron,blog,RStudio IDE and Posit Workbench 2025.09.0: What’s New,"",https://posit.co/blog/rstudio-2025-09-0-whats-new/,""
2025-09-12 15:51:19,"",blog,2025-09-12 AI Newsletter,"",https://posit.co/blog/2025-09-12-ai-newsletter/,""
