"date","n"
2024-10-30,2
2024-10-31,1
2024-11-01,19
2024-11-02,5
2024-11-03,1
2024-11-04,9
2024-11-05,1
2024-11-07,2
2024-11-08,11
2024-11-09,5
2024-11-12,17
2024-11-13,10
2024-11-14,1
2024-11-15,5
2024-11-16,14
2024-11-19,7
2024-11-20,3
2024-11-21,16
2024-11-22,16
2024-11-23,2
2024-11-25,2
2024-11-26,6
2024-12-02,91
2024-12-03,140
2024-12-04,179
2024-12-05,334
2024-12-06,265
2024-12-07,148
2024-12-08,83
2024-12-09,176
2024-12-10,157
2024-12-11,157
2024-12-12,133
2024-12-13,154
2024-12-14,81
2024-12-15,75
2024-12-16,121
2024-12-17,148
2024-12-18,144
2024-12-19,188
2024-12-20,125
2024-12-21,75
2024-12-22,60
2024-12-23,86
2024-12-24,65
2024-12-25,47
2024-12-26,73
2024-12-27,79
2024-12-28,37
2024-12-29,57
2024-12-30,48
2024-12-31,58
2025-01-01,26
2025-01-02,97
2025-01-03,99
2025-01-04,57
2025-01-05,53
2025-01-06,95
2025-01-07,144
2025-01-08,150
2025-01-09,151
2025-01-10,155
2025-01-11,82
2025-01-12,72
2025-01-13,187
2025-01-14,166
2025-01-15,141
2025-01-16,219
2025-01-17,171
2025-01-18,92
2025-01-19,79
2025-01-20,134
2025-01-21,147
2025-01-22,195
2025-01-23,155
2025-01-24,113
2025-01-25,115
2025-01-26,104
2025-01-27,199
2025-01-28,159
2025-01-29,138
2025-01-30,146
2025-01-31,141
2025-02-01,87
2025-02-02,60
2025-02-03,117
2025-02-04,153
2025-02-05,117
2025-02-06,122
2025-02-07,122
2025-02-08,65
2025-02-09,57
2025-02-10,115
2025-02-11,168
2025-02-12,317
2025-02-13,262
2025-02-14,133
2025-02-15,103
2025-02-16,83
2025-02-17,152
2025-02-18,324
2025-02-19,1219
2025-02-20,426
2025-02-21,422
2025-02-22,93
2025-02-23,102
2025-02-24,166
2025-02-25,145
2025-02-26,576
2025-02-27,654
2025-02-28,394
2025-03-01,254
2025-03-02,182
2025-03-03,600
2025-03-04,510
2025-03-05,560
2025-03-06,582
2025-03-07,386
2025-03-08,281
2025-03-09,219
2025-03-10,505
2025-03-11,386
2025-03-12,507
2025-03-13,432
2025-03-14,362
2025-03-15,173
