"date","n_unique_users","n_unique_users_for_r_only","n_unique_users_for_py_only","n_unique_users_for_r_and_py"
2025-02-05,2,1,0,1
2025-02-11,2,1,0,1
2025-02-18,3,1,2,0
2025-02-19,2,0,2,0
2025-02-20,1,1,0,0
2025-02-24,1,0,1,0
2025-02-25,3,0,2,1
2025-02-26,64,49,14,1
2025-02-27,90,74,15,1
2025-02-28,86,65,15,6
2025-03-01,53,29,22,2
2025-03-02,53,32,16,5
2025-03-03,141,110,28,3
2025-03-04,102,72,25,5
2025-03-05,129,96,28,5
2025-03-06,130,85,43,2
2025-03-07,113,81,30,2
2025-03-08,74,51,19,4
2025-03-09,52,35,17,0
2025-03-10,115,87,21,7
2025-03-11,136,94,33,9
2025-03-12,127,87,33,7
2025-03-13,135,90,35,10
2025-03-14,134,75,55,4
2025-03-15,57,39,16,2
2025-03-16,60,43,12,5
2025-03-17,115,81,33,1
2025-03-18,133,81,43,9
2025-03-19,129,86,31,12
2025-03-20,125,85,34,6
2025-03-21,90,64,18,8
2025-03-22,65,39,23,3
2025-03-23,59,41,14,4
2025-03-24,145,99,39,7
2025-03-25,121,82,32,7
2025-03-26,120,76,37,7
2025-03-27,109,65,35,9
2025-03-28,89,61,23,5
2025-03-29,48,26,18,4
2025-03-30,52,31,20,1
2025-03-31,89,59,26,4
2025-04-01,132,81,38,13
2025-04-02,130,83,33,14
2025-04-03,117,81,32,4
2025-04-04,94,64,27,3
2025-04-05,52,34,14,4
2025-04-06,59,38,18,3
2025-04-07,140,90,46,4
2025-04-08,277,189,78,10
2025-04-09,277,194,71,12
2025-04-10,250,185,57,8
2025-04-11,194,140,48,6
2025-04-12,104,74,27,3
2025-04-13,76,48,23,5
2025-04-14,190,128,52,10
2025-04-15,186,122,49,15
2025-04-16,141,98,34,9
2025-04-17,146,84,50,12
2025-04-18,101,62,35,4
2025-04-19,71,46,24,1
2025-04-20,74,49,22,3
2025-04-21,86,46,33,7
2025-04-22,143,96,38,9
2025-04-23,151,102,44,5
2025-04-24,126,78,35,13
2025-04-25,115,73,33,9
2025-04-26,56,43,8,5
2025-04-27,79,39,31,9
2025-04-28,128,89,32,7
2025-04-29,126,86,34,6
2025-04-30,114,73,30,11
2025-05-01,104,66,31,7
2025-05-02,100,65,28,7
2025-05-03,73,48,18,7
